value,unit,rawValue
1.4740440077,m/s,0.245674001281777
2.4005859554,m/s,0.400097659230323
2.2559282205,m/s,0.375988036744285
2.3383281961,m/s,0.389721366008484
2.2797326579,m/s,0.379955442976165
1.8201239051,m/s,0.303353984191412
1.8512527848,m/s,0.308542130802332
2.2888882107,m/s,0.381481368449965
2.3108615375,m/s,0.385143589587085
2.0874660482,m/s,0.347911008026368
2.4262215033,m/s,0.404370250556963
2.2559282205,m/s,0.375988036744285
2.2321237831,m/s,0.372020630512406
2.5543992431,m/s,0.425733207190161
1.7413861507,m/s,0.290231025116733
2.3950926237,m/s,0.399182103946043
2.8107547227,m/s,0.468459120456557
3.7446211127,m/s,0.624103518784143
4.4770653401,m/s,0.746177556688131
4.2701498459,m/s,0.711691640980255
3.6420789209,m/s,0.607013153477584
4.3049409467,m/s,0.717490157780694
3.8050477615,m/s,0.634174626911222
4.032105472,m/s,0.672017578661458
4.953154088,m/s,0.825525681325724
4.3177587207,m/s,0.719626453444014
4.1529587695,m/s,0.692159794915616
3.7812433241,m/s,0.630207220679342
3.1366924039,m/s,0.522782067323832
3.9277321696,m/s,0.65462202826014
3.4919278542,m/s,0.581987975707266
3.0103457747,m/s,0.501724295785394
3.4131900998,m/s,0.568865016632588
2.4152348399,m/s,0.402233954893643
2.1057771538,m/s,0.350962858973968
2.309030427,m/s,0.384838404492325
2.164372692,m/s,0.360728782006287
2.9554124577,m/s,0.492568742942595
3.1586657308,m/s,0.526444288460952
3.378398999,m/s,0.563066499832148
2.7137058626,m/s,0.452284310434278
2.7906125065,m/s,0.465102084414197
2.6624347667,m/s,0.443739127780999
2.3346659749,m/s,0.389110995818964
2.2266304514,m/s,0.371105075228126
2.8070925016,m/s,0.467848750267037
2.4188970611,m/s,0.403149510177923
2.525101474,m/s,0.420850245674001
2.6825769829,m/s,0.447096163823359
3.1073946348,m/s,0.517899105807672
4.6491897336,m/s,0.774864955595569
4.5960875271,m/s,0.76601458784753
4.8817407758,m/s,0.813623462630085
4.7315897092,m/s,0.788598284859767
4.5503097629,m/s,0.75838496047853
4.5942564165,m/s,0.76570940275277
3.8123722037,m/s,0.635395367290262
3.7958922086,m/s,0.632648701437422
3.6548966948,m/s,0.609149449140904
4.4331186865,m/s,0.738853114413892
3.1366924039,m/s,0.522782067323832
3.4150212104,m/s,0.569170201727348
4.5814386425,m/s,0.76357310708945
4.4441053499,m/s,0.740684224982452
4.621723075,m/s,0.770287179174169
