value,unit,rawValue
201.3415936766,degrees,5.59282204657125
170.6009094516,degrees,4.73891415143284
176.2590411084,degrees,4.89608447523423
209.5046845912,degrees,5.81957457197791
216.5031891842,degrees,6.01397747734001
204.9891659291,degrees,5.69414349803156
223.5126804407,degrees,6.20868556779687
224.1169469283,degrees,6.22547074800867
221.6339609973,degrees,6.15649891659291
221.7987609485,degrees,6.16107669301431
231.961424604,degrees,6.44337290566729
225.2815332499,degrees,6.25782036805322
228.7752922147,degrees,6.3548692281869
223.5016937773,degrees,6.20838038270211
221.8427076022,degrees,6.16229743339335
229.0609454634,degrees,6.36280404065066
221.4691610462,degrees,6.15192114017151
226.0176396985,degrees,6.27826776940214
242.1460615864,degrees,6.72627948850978
233.4116641743,degrees,6.4836573381756
220.6561479537,degrees,6.12933744315928
239.9597155675,degrees,6.66554765465255
261.2189092685,degrees,7.25608081301309
254.6708578753,degrees,7.07419049653615
239.7399822993,degrees,6.65944395275735
237.8722495193,degrees,6.60756248664815
234.7080904569,degrees,6.51966917935728
237.2679830317,degrees,6.59077730643635
252.9020050661,degrees,7.02993865779595
232.6865443892,degrees,6.46351512192145
205.4506057924,degrees,5.70696127201148
252.04504532,degrees,7.00125125888852
235.2903836177,degrees,6.53584398937956
227.5557725761,degrees,6.32099368266854
253.0777916807,degrees,7.02993865779595
251.5286721397,degrees,6.9869075594348
232.6975310526,degrees,6.46382030701621
232.148197882,degrees,6.44856105227821
229.9508651997,degrees,6.38752403332621
224.2048402356,degrees,6.22791222876675
211.8778038881,degrees,5.88549455244606
175.6987212745,degrees,4.88052003540147
187.1028778954,degrees,5.19730216376232
189.6407971435,degrees,5.26779992065188
191.310769982,degrees,5.31418805505539
185.3999450667,degrees,5.14999847407453
176.5337076937,degrees,4.90371410260323
175.9733878597,degrees,4.88814966277047
175.9733878597,degrees,4.88814966277047
181.6864528336,degrees,5.04684591204566
190.4757835627,degrees,5.29099398785363
177.6873073519,degrees,4.93575853755303
197.7929013947,degrees,5.49424726096377
189.9374370556,degrees,5.27603991821039
193.4861293374,degrees,5.37461470381787
213.8993499557,degrees,5.94164860988189
209.3179113132,degrees,5.81438642536699
210.9109775079,degrees,5.85863826410718
202.583086642,degrees,5.62730796227912
204.0223395489,degrees,5.66728720969268
223.974120304,degrees,6.22150334177679
230.2475051119,degrees,6.39576403088473
226.0176396985,degrees,6.27826776940214
237.6635029145,degrees,6.60176396984771
239.9487289041,degrees,6.66524246955779
237.2679830317,degrees,6.59077730643635
226.0176396985,degrees,6.27826776940214
207.7468184454,degrees,5.77074495681631
204.505752739,degrees,5.68071535386212
203.7806329539,degrees,5.66057313760796
204.9671926023,degrees,5.69353312784204
202.8577532273,degrees,5.63493758964812
210.3946043275,degrees,5.84429456465346
219.1180150761,degrees,6.08661152989288
219.9749748222,degrees,6.11041596728416
219.3047883541,degrees,6.0917996765038
219.755241554,degrees,6.10431226538896
213.9213232826,degrees,5.94225898007141
218.2390820032,degrees,6.06219672231208
213.3060701315,degrees,5.92516861476486
216.228522599,degrees,6.00634784997101
213.5038300729,degrees,5.93066194647053
212.0865504929,degrees,5.8912930692465
212.6908169805,degrees,5.9080782494583
203.5499130222,degrees,5.654164250618
235.4881435591,degrees,6.54133732108524
227.0503860591,degrees,6.30695516830958
233.5984374523,degrees,6.48884548478652
207.0656453139,degrees,5.75182348094119
226.0176396985,degrees,6.27826776940214
231.961424604,degrees,6.44337290566729
241.4978484451,degrees,6.70827356791894
