"","name","date","mean","sitename","greenhouse","city","cultivar_id","site_id"
"73","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 575 Season 2",FALSE,"Maricopa",6000000287,6000003171
"74","height",2016-08-08 19:00:00,30.844,"MAC Field Scanner Field Plot 574 Season 2",FALSE,"Maricopa",6000000287,6000003170
"75","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 548 Season 2",FALSE,"Maricopa",6000000292,6000003144
"76","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 549 Season 2",FALSE,"Maricopa",6000000292,6000003145
"77","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 550 Season 2",FALSE,"Maricopa",6000000303,6000003146
"78","height",2016-08-08 19:00:00,30.844,"MAC Field Scanner Field Plot 551 Season 2",FALSE,"Maricopa",6000000303,6000003147
"79","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 571 Season 2",FALSE,"Maricopa",6000000241,6000003167
"80","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 570 Season 2",FALSE,"Maricopa",6000000241,6000003166
"81","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 584 Season 2",FALSE,"Maricopa",6000000318,6000003180
"82","height",2016-08-08 19:00:00,30.844,"MAC Field Scanner Field Plot 539 Season 2",FALSE,"Maricopa",6000000320,6000003135
"83","height",2016-08-08 19:00:00,30.844,"MAC Field Scanner Field Plot 538 Season 2",FALSE,"Maricopa",6000000320,6000003134
"84","height",2016-08-08 19:00:00,30.844,"MAC Field Scanner Field Plot 544 Season 2",FALSE,"Maricopa",NA,6000003140
"85","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 545 Season 2",FALSE,"Maricopa",NA,6000003141
"86","height",2016-08-08 19:00:00,30.844,"MAC Field Scanner Field Plot 576 Season 2",FALSE,"Maricopa",NA,6000003172
"87","height",2016-08-08 19:00:00,30.844,"MAC Field Scanner Field Plot 577 Season 2",FALSE,"Maricopa",NA,6000003173
"88","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 562 Season 2",FALSE,"Maricopa",6000000376,6000003158
"89","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 556 Season 2",FALSE,"Maricopa",6000000379,6000003152
"90","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 557 Season 2",FALSE,"Maricopa",6000000379,6000003153
"91","height",2016-08-08 19:00:00,30.844,"MAC Field Scanner Field Plot 558 Season 2",FALSE,"Maricopa",6000000248,6000003154
"92","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 559 Season 2",FALSE,"Maricopa",6000000248,6000003155
"93","height",2016-08-08 19:00:00,30.844,"MAC Field Scanner Field Plot 543 Season 2",FALSE,"Maricopa",6000000392,6000003139
"94","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 542 Season 2",FALSE,"Maricopa",6000000392,6000003138
"95","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 554 Season 2",FALSE,"Maricopa",6000000255,6000003150
"96","height",2016-08-08 19:00:00,32.166,"MAC Field Scanner Field Plot 555 Season 2",FALSE,"Maricopa",6000000255,6000003151
"97","height",2016-08-08 19:00:00,30.844,"MAC Field Scanner Field Plot 533 Season 2",FALSE,"Maricopa",6000000410,6000003129
"98","height",2016-08-08 19:00:00,30.844,"MAC Field Scanner Field Plot 532 Season 2",FALSE,"Maricopa",6000000410,6000003128
"99","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 578 Season 2",FALSE,"Maricopa",6000000271,6000003174
"100","height",2016-08-08 19:00:00,30.844,"MAC Field Scanner Field Plot 579 Season 2",FALSE,"Maricopa",6000000271,6000003175
"101","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 565 Season 2",FALSE,"Maricopa",6000000275,6000003161
"102","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 564 Season 2",FALSE,"Maricopa",6000000275,6000003160
"103","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 589 Season 2",FALSE,"Maricopa",6000000277,6000003185
"104","height",2016-08-08 19:00:00,31.505,"MAC Field Scanner Field Plot 601 Season 2",FALSE,"Maricopa",6000000283,6000003197
